Energe/kal,Protain/g,Suger/g,Fat/g,Water/g,Fiber/g,Ash/g,VA/mcg,Carotene/mcg,Retinol/mcg,VB1/mg,VB2/mg,VB3/mg,VC/mg,VE/mg,K/mg,Na/mg,Ca/mg,Mg/mg,Fe/mg,Mn/mg,Zn/mg,Cu/mg,P/mg,Se/mcg,tag
88,19.8,0,1.1,78,0,1.3,0,0,0,0.01,0.03,2,0,0.26,136,91.5,184,30,1.4,0.07,0.16,0.02,183,48.95,1
84,25.1,0.1,3.9,83.1,0,0.7,10,0,10,0.04,0.18,1.8,0,0.45,210,81.4,6,10,5.3,0.04,1.21,0.08,165,10.77,1
84,17.4,0,1.6,80.4,0,1.1,35,0,35,0.02,0.06,1.6,1.68,1.68,290,110,44,42,0.9,0.08,2.38,0.45,19,38.18,1
84,25.1,0,1.6,80.4,0,1.1,35,0,35,0.02,0.06,1.6,1.68,1.68,290,110,44,42,0.9,0.08,2.38,0.45,19,38.18,1
79,25.1,17.1,0.2,78.6,1,0.9,0,160,27,0.06,0.05,0.7,6,0.45,378,33.1,36,23,1,0.3,0.49,0.37,55,1.45,1
76,2,16.5,0.2,79.8,0.7,0.8,0,30,5,0.08,0.04,1.1,27,0.34,342,2.7,8,23,0.8,0.14,0.37,0.12,40,0.78,1
72,2.5,9.3,2.7,84.7,0,0.8,26,0,26,0.03,0.15,0.2,1,0.12,150,39.8,118,12,0.4,0.02,0.53,0.03,85,1.71,1
65,1.3,7.4,3.4,87.6,0,0.3,11,0,11,0.01,0.05,0.2,5,0,0,0,30,32,0.1,0,0.28,0.03,13,0,1
63,10.3,2.1,1.5,84.1,0,2,4,0,4,0.08,0.46,1.9,0,2.3,125,0,38,70,1.8,0.23,6.3,0.25,114,113.5,1
60,3.9,8.8,1,81.8,2.1,2.4,0,2640,440,0.1,0.73,2.2,118,0,497,5.8,713,61,9.7,0.44,2.01,0,78,8.53,1
59,1.5,13,0.1,81.3,3,1.1,0,30,5,0.03,0.02,0.1,2,1.82,212,5.5,67,17,0.1,0.17,1.42,0.01,18,0.67,1
56,8.9,0.8,1.9,86.6,0,1.8,0,0,0,0.01,0.01,1.7,2.26,2,109,577.7,111,66,6.5,0.14,1.64,0.03,97,28.1,1
56,1.9,11.6,0.2,84.8,0.8,0.7,0,20,7,0.05,0.02,0.3,5,0.24,213,18.6,16,20,0.3,0.12,0.27,0.24,34,0.55,1
